OrtsID;Ortsname;GebietsID
5725;"Vergeze";"21"
5727;"Campestre";"21"
5729;"Collias";"21"
5730;"Fourques";"21"
5731;"Grillon";"21"
5733;"Mondragon";"21"
5734;"Paluds de Noves";"21"
5735;"Saint Cecile les Vignes";"21"
5742;"Rochefort du Gard";"21"
5743;"Saint Laurent des Arbres";"21"
5744;"Venejan";"21"
5893;"Hauteville";"21"
5897;"Saint Jean la Riviere";"21"
5903;"La Grande Verriere";"21"
5904;"Montpont en Bresse";"21"
5906;"Saulon La Rue";"21"
5909;"Saint Leger sous la Bussiere";"21"
5910;"Saint Sulpice";"21"
7944;"Spa";"21"
8029;"Colmar";"21"
8070;"Saint Jean de Bueges";"21"
8072;"Espezel";"21"
8567;"Gréoux-les-Bains";"21"
8573;"Saint-Cyprien (Dordogne)";"21"
8584;"Villeneuve-lès-Avignon";"21"
8587;"Saint Montant";"21"
8588;"Martignargues";"21"
8591;"Banon";"21"
8593;"Rozieres";"21"
8594;"Moirmoiron";"21"
8596;"Vauvert-Camargue";"21"
8597;"Kaysersberg";"21"
8600;"Munster";"21"
8601;"Verfeuil";"21"
8604;"Cornillon";"21"
8606;"Aubais";"21"
8608;"Tavel";"21"
8613;"Les Taillades";"21"
8619;"Tourbes";"21"
8706;"Poitiers";"21"
8707;"Vidauban";"21"
8861;"Contrexeville";"21"
8930;"Gerardmer";"21"
8931;"Fagnon";"21"
8979;"Lognes";"21"
8989;"Arles";"21"
9427;"Rouffach";"21"
9428;"Murbach-Buhl";"21"
9442;"Chenehutte-les-Tuffeaux";"21"
9443;"Chinon";"21"
9453;"Châteaubernard";"21"
9454;"Saint Julien de Crempse";"21"
9471;"Peyreleau";"21"
9534;"Vezac";"21"
9536;"Soyons";"21"
9544;"Lorgues";"21"
9545;"Cabasse";"21"
9547;"Robion";"21"
9548;"Entrecasteaux";"21"
9550;"Gonfaron";"21"
9551;"Sillans-la-Cascade";"21"
9553;"Baudinard";"21"
9563;"Tourettes sur Loup";"21"
10172;"Noisy-le-Grand";"21"
10185;"Troyes";"21"
10186;"Thennelieres";"21"
10188;"Bar-sur-Aube";"21"
10193;"Larnas";"21"
10194;"Autun";"21"
10196;"Le Girmont val d'Ajol";"21"
10199;"La Bresse";"21"
10289;"Danjoutin";"21"
10290;"Bourg-en-Bresse";"21"
10291;"Auxerre";"21"
10294;"Bischoffsheim";"21"
10323;"Raphele les Arles";"21"
10324;"Rompon";"21"
10325;"Pelissanne";"21"
10326;"Carces";"21"
10327;"Pont St. Esprit";"21"
10328;"Villedieu";"21"
10329;"Truinas";"21"
10330;"Rognonas";"21"
10331;"St. Pierre de Vassols";"21"
10332;"St Agreve";"21"
10333;"Goudargues";"21"
10335;"St. Maurice sur Eygues";"21"
10338;"Ceret";"21"
11083;"Val d' Ajol";"21"
11509;"St. Florentin";"21"
11511;"Lagarde";"21"
11688;"Pont Royal";"21"
11689;"Nancy";"21"
11697;"Bras";"21"
11699;"Bauduen";"21"
11700;"Collobrieres";"21"
11701;"Reillanne";"21"
11702;"Chantemerle";"21"
11705;"Le Creusot";"21"
11706;"Perignat-Les-Sarliere";"21"
11708;"Sommieres";"21"
11719;"Evron";"21"
11720;"Fontevraud";"21"
11731;"Beaumes de Venise";"21"
11734;"Jonquieres";"21"
11735;"St. Andre de la Roche";"21"
11736;"Orleans";"21"
11737;"Angers";"21"
11738;"Joue-les-Tours";"21"
11739;"Grez-Neuville";"21"
11740;"Landudec";"21"
11741;"Monhoudoe";"21"
11742;"Dissaysous-Courcillon";"21"
11744;"Bretteville-sur-Laize";"21"
11745;"Saint-Loup-Lamaire";"21"
11746;"Saumur";"21"
11747;"Champigne";"21"
11748;"Crazannes";"21"
11749;"St. Jean-le-Thomas";"21"
11750;"Riquewihr";"21"
11751;"Le' Etoile";"21"
11836;"Pouilly-en-Auxois";"21"
11890;"Dijon";"21"
11891;"Valence";"21"
11892;"Beaune";"21"
11893;"Montchanin";"21"
11905;"Fontvieille";"21"
11926;"Althen des Paluds";"21"
11953;"La Pommeraye";"21"
11954;"Evreux";"21"
11955;"Nîmes";"21"
11956;"Perignat";"21"
11980;"Tournus";"21"
11982;"Argentat";"21"
12199;"Joinville-Le-Pont";"21"
12200;"Chasse sur Rhone";"21"
12281;"Chatel Guyon";"21"
12286;"Cour Cheverny";"21"
12288;"Macon";"21"
12299;"Obernai";"21"
12300;"Wolxheim";"21"
12301;"Waldhambach";"21"
12302;"Seebach";"21"
12303;"Lichtenberg";"21"
12304;"Urbeis-Le-Climont";"21"
12305;"Plaine";"21"
12306;"Montigny en Morvan";"21"
12317;"Carmaux";"21"
12321;"Gaujac";"21"
12322;"Thueyts";"21"
12323;"Treves";"21"
12324;"Colognac";"21"
12325;"Vezenobres";"21"
12326;"Besseges";"21"
12327;"Velleron";"21"
12328;"Crest";"21"
12329;"Luberon";"21"
12331;"Plaisians";"21"
12332;"Draguinan";"21"
12333;"Gallargues";"21"
12334;"Donzere";"21"
12762;"Beaugency";"21"
12768;"Ardèche";"21"
12770;"Roussillon";"21"
12771;"Mazan";"21"
12773;"Castellane";"21"
12774;"Verdon";"21"
12775;"Les Salles";"21"
12776;"Tourrettes";"21"
12777;"Trigance";"21"
12778;"Le Muy";"21"
12783;"St - Victor - de - Malcap";"21"
12784;"Gagnières";"21"
12814;"Blois";"21"
12815;"Tours";"21"
12816;"Salbris";"21"
12817;"Saint-Gervais-en-Vallière";"21"
12818;"Avallon";"21"
12819;"Cluny";"21"
12820;"Savigny";"21"
12821;"Anse";"21"
13275;"La Ferté-Bernard";"21"
13276;"Montbéliard";"21"
13277;"Le Bourget";"21"
13278;"Saclay";"21"
13279;"Porte d' Orléans";"21"
13280;"Porte de Bagnolet";"21"
13326;"Chenillé-Changé";"21"
13328;"Argens";"21"
13329;"St. Léger-sur-Dheune";"21"
13330;"Cognac";"21"
13369;"Montsauche - Les - Settons";"21"
13370;"Giffaumont - Champaubert";"21"
13381;"Vieille - Brioude";"21"
13382;"Araules";"21"
13383;"Fay - sur - Lignon";"21"
13384;"Retournac";"21"
13385;"Yessingeaux";"21"
13386;"St. Julien du Pinet";"21"
13387;"Castelmoron-sur-Lot";"21"
13388;"Souillac";"21"
13389;"St. Jean de Laur";"21"
13390;"Altillac";"21"
13391;"Capdrot";"21"
13392;"Mauzac - Grand Castang";"21"
13393;"Mouzens";"21"
13394;"Sagelat";"21"
13396;"Mouleydier";"21"
13397;"St. Martial de Nabirat";"21"
13398;"Cénac";"21"
13399;"St. Vincent de Cosse";"21"
13400;"Borreze";"21"
13401;"Jayac";"21"
13402;"La Cassagne";"21"
13403;"Paulin";"21"
13404;"Sarlat";"21"
13405;"Belvès";"21"
13406;"St. Seurin de Prats";"21"
13407;"Doulezon";"21"
13408;"St. Leon - L' isle";"21"
13409;"St. Cybranet";"21"
13410;"Berbiguières";"21"
13411;"Bonneville";"21"
13412;"Thiviers";"21"
13413;"St. Leon sur Vezere";"21"
13414;"Sousceyrac";"21"
13415;"Monsegur";"21"
13416;"Baleyssagues";"21"
13417;"Allemans-du-Dropt";"21"
13418;"Duras";"21"
13419;"Mauvezin sur Gupie";"21"
13420;"Moustier";"21"
13421;"Coutras";"21"
13422;"Les Salles de Castillon";"21"
13423;"Moulon";"21"
13424;"St. Laurent des Combes";"21"
13425;"St Meard de Gurcon";"21"
13426;"Vignonnet";"21"
13427;"Villefranche de Lonchat";"21"
13428;"Amboise";"21"
13429;"Chitenay";"21"
13430;"Seillac";"21"
13431;"Neuillé";"21"
13432;"Longué";"21"
13433;"Brain sur Allones";"21"
13434;"Azay-le-Rideau";"21"
13435;"Valaire";"21"
13436;"Pontlevoy";"21"
13437;"Nouan sur Loire";"21"
13438;"Celle sur Belle";"21"
14322;"Xonrupt-Longemer";"21"
14494;"Ouchamps";"21"
14495;"Montbazon";"21"
14496;"Luynes";"21"
14508;"Vougeot";"21"
14509;"Saint Jean d Ardieres";"21"
14714;"Faulquemont";"21"
14721;"Jura";"21"
14724;"Caumont";"21"
14786;"Boutigny-sur-Essonne";"21"
14787;"Cubry";"21"
14895;"Ste Cathernine de Fierbois";"21"
14905;"Burgund";"21"
14970;"Esbly";"21"
15081;"Herm";"21"
16452;"Amiens";"21"
16453;"Le Mans";"21"
16454;"Lille";"21"
16455;"Meudon";"21"
16951;"Versailles";"21"
16957;"Cernay-la-Ville";"21"
16965;"Elincourt-Ste-Marguerite";"21"
16968;"Varetz";"21"
16976;"Chantilly";"21"
16978;"Montignac";"21"
16980;"Gouvieux";"21"
16983;"Chissay en Touraine";"21"
16987;"Chasseneuil-du-Poitou";"21"
17147;"Mooslargue";"21"
17149;"Perrier";"21"
17333;"Sancy";"21"
17336;"Loches";"21"
17339;"Les Forges";"21"
17340;"Nieuil";"21"
17341;"Asnieres-Sur-Nouere";"21"
17342;"Monflanquin";"21"
17343;"Perpezac-Le-Noir";"21"
17344;"Dracy-Le-Fort";"21"
17424;"Boulogne-Billancourt";"21"
17449;"Grigny";"21"
17450;"Savigny Le Temple";"21"
17451;"Garges Les Gonesse";"21"
17454;"Neuilly-sur-Seine";"21"
17456;"Bourgoin";"21"
17479;"Isle d'Abeau";"21"
17571;"Saulieu";"21"
17593;"Suresnes";"21"
17907;"Nuits-Saint-Georges";"21"
17908;"Les Trois Epis";"21"
18512;"Gresse en Vercors";"21"
18513;"Coulaures";"21"
18514;"Pillac";"21"
18515;"Esclottes";"21"
18516;"Loubes-Bernac";"21"
18517;"Levignac de Guyenne";"21"
18518;"St. Barthelemy d'Agenais";"21"
18519;"St. Colomb De Lauzun";"21"
18520;"Pardaillan";"21"
18521;"Durfort Lacapellette";"21"
18522;"Roiffe";"21"
18726;"Limay";"21"
19461;"La Charite sur Loire";"21"
19642;"Terrasson";"21"
19855;"Rosny Sous Bois";"21"
19952;"Nannterre";"21"
20192;"Clichy";"21"
20193;"Rueil-Malmaison";"21"
21417;"Angouleme";"21"
21602;"Beaulieu-sur-Dordogne";"21"
21763;"Bourges";"21"
22003;"Chancelade";"21"
22019;"Chartres";"21"
22020;"Casseneuil";"21"
22024;"Chateauroux";"21"
22054;"Cheverny";"21"
22464;"Fez";"21"
22513;"Flacey";"21"
22585;"Fresnes";"21"
22681;"Gonesse";"21"
22915;"Rocamadour";"21"
